"","variances","targets"
"95",0.0217696123709244,0.016
"96",0.0256230946459048,0.0176
"97",0.0203253705352676,0.0164
"98",0.0206517718178661,0.0162
"99",0.0253726134743539,0.017
"100",0.0177797799296052,0.0172
"101",0.0183654806306714,0.018
"102",0.0229185259142861,0.0146
"103",0.0187979564393589,0.0164
"104",0.0204331803451264,0.017
"105",0.0172179834494294,0.0192
"106",0.0250138607605184,0.0202
"107",0.0162913489223503,0.0188
"108",0.0213634431240044,0.0172
"109",0.0245360573928376,0.0204
"110",0.0250526000549973,0.0164
"111",0.019469435261129,0.0158
"112",0.0149541865707796,0.017
"113",0.0137837645334021,0.021
"114",0.0204773510283152,0.0194
"115",0.0186320584410793,0.0168
"116",0.0201318992858929,0.0166
"117",0.0144741398076606,0.0158
"118",0.0178075311217725,0.0188
"119",0.0164745780271079,0.0172
"120",0.0251028494906903,0.0174
"121",0.0194848460822288,0.0206
"122",0.0227184375890851,0.0166
"123",0.0211457649316162,0.0162
"124",0.0236002248238184,0.0202
"125",0.0307420755418154,0.0172
"126",0.0242450644729011,0.0164
"127",0.0221622378192529,0.017
"128",0.0173445303089868,0.0146
"129",0.0217118835545057,0.0168
"130",0.0225476954972143,0.0172
"131",0.0181180712430053,0.0178
"132",0.0154565886157196,0.016
"133",0.0241225076537608,0.0188
"134",0.0155069346995744,0.0186
"135",0.0156008202324341,0.016
"136",0.0239933722107817,0.0194
"137",0.0188601208572936,0.0164
"138",0.0207794558812667,0.017
"139",0.0189444431263724,0.0166
"140",0.0186096515919699,0.0158
"141",0.0185599148550196,0.0174
"142",0.0217837315509656,0.0162
"143",0.0178361145735091,0.0166
"144",0.0169482077575453,0.0148
"145",0.0170395295044826,0.0172
"146",0.0187031257336577,0.0164
"147",0.0145037992340851,0.0176
"148",0.0189445207484335,0.0168
"149",0.0188769689985218,0.0174
"150",0.0241840793026447,0.0182
"151",0.0145213209897951,0.019
"152",0.0209411847810563,0.0174
"153",0.0155583847134749,0.0172
"154",0.0266103167545236,0.02
"155",0.022767475744832,0.018
"156",0.0209993495149405,0.02
"157",0.0238660746484953,0.0168
"158",0.0230284083044328,0.0184
"159",0.0174377003090364,0.0174
"160",0.017644882112699,0.0174
"161",0.021050628990546,0.018
"162",0.0224158269921372,0.0152
"163",0.0157898419987586,0.0206
"164",0.0181451742034799,0.0192
"165",0.0257968852903896,0.0184
"166",0.0216098303899514,0.0152
"167",0.0213898302571423,0.018
"168",0.0219733195931335,0.0172
